序號,縣市,監測日期,測站,"二氧化硫<br />SO2<br />(ppb)","一氧化碳<br />CO<br />(ppm)","臭氧<br />O3<br />(ppb)","懸浮微粒<br />PM 10 <br />(μg/m 3 )","細懸浮微粒<br />PM 2.5 <br />(μg/m 3 )","氮氧化物<br />NOx<br />(ppb)","一氧化氮<br />NO<br />(ppb)","二氧化氮<br />NO2<br />(ppb)","風速<br />WIND_SPEED<br />(m/sec)","溫度<br />AMB_TEMP<br />(℃)","大氣溫度<br />AMB_TEMP<br />(℃)","相對濕度<br />RH<br />(percent)"
205,臺北市,2014/09/20,中山,-,-,-,-,9,-,-,-,-,-,-,-
206,臺北市,2014/09/20,中山,1.3,0.36,16.7,34.0,-,20,7.76,12.29,3.05,31.86,-,59.98
207,臺北市,2014/09/19,中山,-,-,-,-,14,-,-,-,-,-,-,-
208,臺北市,2014/09/19,中山,1.4,0.47,18.0,43.0,-,23,8.65,14.07,2.96,31.47,-,64.3
209,臺北市,2014/09/18,中山,-,-,-,-,12,-,-,-,-,-,-,-
210,臺北市,2014/09/18,中山,3.8,0.46,13.2,40.0,-,25,9.06,16.26,2.9,31.53,-,65.39
211,臺北市,2014/09/17,中山,-,-,-,-,18,-,-,-,-,-,-,-
212,臺北市,2014/09/17,中山,5.4,0.55,23.6,56.0,-,29,8.52,20.51,2.09,31.75,-,65.62
213,臺北市,2014/09/16,中山,-,-,-,-,20,-,-,-,-,-,-,-
214,臺北市,2014/09/16,中山,3.9,0.65,34.3,60.0,-,30,5.66,24.82,1.86,32.63,-,61.45
215,臺北市,2014/09/15,中山,-,-,-,-,8,-,-,-,-,-,-,-
216,臺北市,2014/09/15,中山,1.4,0.28,14.6,40.0,-,14,4.78,9.38,3.98,32.24,-,61.73
217,臺北市,2014/09/14,中山,-,-,-,-,14,-,-,-,-,-,-,-
218,臺北市,2014/09/14,中山,5.7,0.34,18.8,39.0,-,19,6.31,12.99,2.76,30.67,-,72.14
219,臺北市,2014/09/13,中山,-,-,-,-,14,-,-,-,-,-,-,-
220,臺北市,2014/09/13,中山,6.5,0.54,21.3,45.0,-,29,7.03,22.36,1.65,31.12,-,65.36
221,臺北市,2014/09/12,中山,-,-,-,-,21,-,-,-,-,-,-,-
222,臺北市,2014/09/12,中山,4.0,0.73,16.9,51.0,-,38,12.88,25.59,1.58,30.78,-,70.06
223,臺北市,2014/09/11,中山,-,-,-,-,14,-,-,-,-,-,-,-
224,臺北市,2014/09/11,中山,2.5,0.56,18.3,43.0,-,29,9.87,19.39,1.76,30.87,-,67.18
225,臺北市,2014/09/10,中山,-,-,-,-,23,-,-,-,-,-,-,-
226,臺北市,2014/09/10,中山,4.3,0.69,27.4,55.0,-,34,5.31,28.28,1.67,30.04,-,73.52
